Country Name,Country Code,Series Name,Series Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1025211803413.53,1269179616913.63,1269276828275.78,1401465923172.24,1322815612694,1393982750472.59,1601094756209.75,1605675086549.56,1452884917959.09,1503108739159.44,1493151737698.46,1365639660792.16,1377657339291.34,1501409382971.38,1844544792036.86,2119633181634.37,2196945232435.8,2320536221304.7,2660591246211.77,2930303780828.12,2700887366932.03,2645187882116.67,2865157541994.17,2683671716967.19,2811876903329.03,2855964488590.19,2439188643162.5,2472964344587.17,2595151045197.65,2790956878746.66
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.34386106267613,2.92393508123074,1.04817584704435,1.59934267687127,-0.628666351905437,2.35840843921574,2.10662915810063,1.41299367250002,2.33629652937944,3.58865942535427,3.42137379882455,3.92366922704063,1.98372141863292,1.13553148214601,0.823160756684118,2.82975292869891,1.66321998030079,2.44932360111885,2.42473624337305,0.254945960124033,-2.87331382849632,1.94943762312663,2.19270063266654,0.313134751077172,0.576326674771792,0.956183052371557,1.1129123405747,1.09546440372048,2.29141999417021,1.86506607081999
France,FRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,99,..,..,..,..,..,..,..,99.6,..,..,98,97.9,98.3,98.1,98,97.9,97.5,96.2,97.1,98.3,98.3,97.7,97.4,98,98.1
France,FRA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.6,13.4,13.2,13.1,13,12.5,12.8,12.8,12.7,12.8,12.9,13.3,13.1,12.9,12.8,12.8,12.8,13.1,12.8,12.9,12.8,12.9,12.7,12.6,12.4,12.4,12,11.8,11.5,11.3
France,FRA,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,7.292,6.853,5.546,4.848,5.485,5.84,6.421,6.398,6.183,5.784,4.851,5.877,5.616,5.7,5.693,6.255,6.314,6.3,5.696,5.224,5.435
France,FRA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,16.444,16.954,15.3,12.882,12.741,11.456,12.243,12.766,12.995,12.114,11.59,14.157,15.154,15.013,15.957,16.285,17.256,17.489,17.814,16.934,15.93
France,FRA,"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,22.3436273030054,21.760321808445,21.6487970651412,20.6610532607475,19.1125443145592,20.1659170058998,21.0232025170056,21.2736750818117,22.5103014673064,23.380274814039,23.6843852136939,27.2662714690058,26.6934728903914,25.5409745004028,24.6858645485955,25.4561715567725,26.947655734595,28.16836935943,28.5674990728149,29.2776980294924,25.6269036398058,28.0794912416196,30.369238945981,30.499031981938,30.3993172078638,30.8121120215465,31.1590715564548,30.852605198715,32.0132141063066,32.7242853866575
